,block,block_id,parameter,address,parameter_name,access,size_byte,default_value,param_mask,param_shift,max_value
0,CHAL,0,per_ch_align_en,0x0000,CHAL_00_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,0,sel_override_en,0x0000,CHAL_00_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,0,patt_en,0x0000,CHAL_00_patt_en,RW,1,0x0,1,2,1
3,CHAL,0,prbs28_en,0x0000,CHAL_00_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,0,patt_sel,0x0000,CHAL_00_patt_sel,RW,1,0x0,1,4,1
5,CHAL,0,prbs_chk_en,0x0000,CHAL_00_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,0,force_ch_outputs,0x0000,CHAL_00_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,0,sel_override_val,0x0001,CHAL_00_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,0,seed_in,0x0002,CHAL_00_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,0,user_word_0,0x0004,CHAL_00_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,0,user_word_1,0x0008,CHAL_00_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,0,user_word_2,0x000c,CHAL_00_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,0,user_word_3,0x0010,CHAL_00_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,0,pattern_match,0x0014,CHAL_00_pattern_match,RO,1,0x0,1,0,1
1,CHAL,0,snapshot_dv,0x0014,CHAL_00_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,0,hdr_mm_err,0x0014,CHAL_00_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,0,spare_err,0x0014,CHAL_00_spare_err,RO,1,0x0,1,3,1
4,CHAL,0,orbsyn_hdr_err,0x0014,CHAL_00_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,0,orbsyn_arr_err,0x0014,CHAL_00_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,0,orbsyn_fc_err,0x0014,CHAL_00_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,0,prbs_chk_err,0x0014,CHAL_00_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,0,select,0x0015,CHAL_00_select,RO,1,0x20,255,0,255
9,CHAL,0,snapshot,0x0016,CHAL_00_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,0,hdr_mm_cntr,0x002e,CHAL_00_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,0,orbsyn_hdr_err_cnt,0x0030,CHAL_00_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,0,orbsyn_arr_err_cnt,0x0031,CHAL_00_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,0,orbsyn_fc_err_cnt,0x0032,CHAL_00_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,0,prbs_chk_err_cnt,0x0033,CHAL_00_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,0,tmr_err_cnt_chan_aligner,0x0034,CHAL_00_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,0,tmr_err_cnt_chan_err,0x0035,CHAL_00_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,0,tmr_err_cnt_chan_eprxgrp,0x0036,CHAL_00_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,1,per_ch_align_en,0x0040,CHAL_01_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,1,sel_override_en,0x0040,CHAL_01_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,1,patt_en,0x0040,CHAL_01_patt_en,RW,1,0x0,1,2,1
3,CHAL,1,prbs28_en,0x0040,CHAL_01_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,1,patt_sel,0x0040,CHAL_01_patt_sel,RW,1,0x0,1,4,1
5,CHAL,1,prbs_chk_en,0x0040,CHAL_01_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,1,force_ch_outputs,0x0040,CHAL_01_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,1,sel_override_val,0x0041,CHAL_01_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,1,seed_in,0x0042,CHAL_01_seed_in,RW,2,0x0,16383,0,16383
