Block Name,BlockMap Name,BlockMap Description,BlockMap Instance Name,BlockMap Instance Address,BlockMap Address Mode,BlockMap Word Bytes,BlockMap Instance Access
reg_block,i2c_map,,RW_CHAL_00_ALL_w0_reg,0x0000,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w1_reg,0x0001,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w2_reg,0x0002,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w3_reg,0x0003,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w4_reg,0x0004,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w5_reg,0x0005,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w6_reg,0x0006,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w7_reg,0x0007,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w8_reg,0x0008,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w9_reg,0x0009,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w10_reg,0x000a,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w11_reg,0x000b,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w12_reg,0x000c,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w13_reg,0x000d,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w14_reg,0x000e,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w15_reg,0x000f,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w16_reg,0x0010,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w17_reg,0x0011,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w18_reg,0x0012,Byte,,RW
reg_block,i2c_map,,RW_CHAL_00_ALL_w19_reg,0x0013,Byte,,RW
reg_block,i2c_map,,RO_CHAL_00_ALL_w0_reg,0x0014,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w1_reg,0x0015,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w2_reg,0x0016,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w3_reg,0x0017,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w4_reg,0x0018,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w5_reg,0x0019,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w6_reg,0x001a,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w7_reg,0x001b,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w8_reg,0x001c,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w9_reg,0x001d,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w10_reg,0x001e,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w11_reg,0x001f,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w12_reg,0x0020,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w13_reg,0x0021,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w14_reg,0x0022,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w15_reg,0x0023,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w16_reg,0x0024,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w17_reg,0x0025,Byte,,RO
reg_block,i2c_map,,RO_CHAL_00_ALL_w18_reg,0x0026,Byte,,RO
