Register Name,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Register Description,Field Description
RW_CHAL_xx_ALL_w0,,8,RW,,,,per_ch_align_en,0,1,,0x1,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,sel_override_en,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,patt_en,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,prbs28_en,3,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,patt_sel,4,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,prbs_chk_en,5,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,force_ch_outputs,6,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w0,,8,RW,,,,RSVD0,7,1,,0x0,FALSE,TRUE,FALSE,,,
RW_CHAL_xx_ALL_w1,,8,RW,,,,sel_override_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w2,,8,RW,,,,seed_in,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w3,,8,RW,,,,seed_in,0,6,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w3,,8,RW,,,,RSVD1,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_CHAL_xx_ALL_w4,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w5,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w6,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w7,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w8,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w9,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w10,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w11,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w12,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w13,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w14,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w15,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w16,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w17,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w18,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_CHAL_xx_ALL_w19,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,pattern_match,0,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,snapshot_dv,1,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,hdr_mm_err,2,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,spare_err,3,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_hdr_err,4,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_arr_err,5,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_fc_err,6,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,prbs_chk_err,7,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w1,,8,RO,,,,select,0,8,,0x20,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w2,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w3,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w4,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w5,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w6,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w7,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w8,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w9,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w10,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w11,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w12,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w13,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w14,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w15,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w16,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w17,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w18,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w19,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w20,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w21,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w22,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
